751	305	2.0	887134730
533	98	4.0	879438543
216	91	4.0	880235546
255	218	3.0	883216544
773	185	4.0	888540279
399	182	4.0	882342570
425	176	3.0	878738386
846	64	4.0	883948221
707	1204	3.0	886286283
181	475	2.0	878962720
307	419	4.0	877122115
223	423	3.0	891550684
222	700	3.0	881060550
399	176	3.0	882342127
854	492	4.0	882814333
200	924	5.0	876042368
405	783	2.0	885547645
790	376	2.0	885157533
313	234	4.0	891013803
648	1033	2.0	882212288
429	481	3.0	882386237
610	135	3.0	888703730
874	325	2.0	888633197
880	795	2.0	880243147
197	302	3.0	891409070
9	402	4.0	886959343
629	292	4.0	880116722
408	270	5.0	889679683
466	195	4.0	890284857
486	123	3.0	879875278
467	327	4.0	879532164
556	132	5.0	882136396
454	193	2.0	881959818
194	223	4.0	879547032
927	121	5.0	879199250
870	943	2.0	879714310
747	959	5.0	888733144
788	448	2.0	880869355
566	134	5.0	881649853
881	197	3.0	876537870
744	127	5.0	881171481
85	50	5.0	882813248
497	79	4.0	879310730
308	675	4.0	887740367
175	193	4.0	877108098
433	358	2.0	880585554
790	1230	2.0	885158235
592	1071	4.0	882956668
374	235	3.0	880394301
378	79	4.0	880045722
840	507	4.0	891208667
796	775	2.0	893047691
305	190	3.0	886322966
676	302	5.0	892685224
268	219	3.0	875744533
450	1441	3.0	882397940
262	650	4.0	879792604
916	157	4.0	880845011
90	661	5.0	891385522
393	941	4.0	889729212
892	568	4.0	886610451
224	107	3.0	888104522
184	521	4.0	889908873
268	298	3.0	875742647
840	1674	4.0	891211682
402	273	4.0	876267014
387	135	5.0	886480288
752	995	4.0	891208261
94	581	4.0	891722249
755	271	1.0	882570023
601	290	3.0	876350501
573	347	4.0	885843476
186	820	2.0	879024345
128	151	3.0	879968921
197	233	4.0	891409935
537	70	4.0	886031786
605	191	5.0	879426212
831	301	2.0	891354275
186	295	2.0	879023390
506	607	4.0	874874851
16	56	5.0	877719863
73	28	3.0	888626468
913	475	4.0	880757473
107	302	4.0	891264296
293	286	3.0	888904265
144	58	3.0	888105548
201	1220	2.0	884140975
645	11	4.0	892054278
76	223	2.0	882606623
750	683	1.0	879445911
367	436	4.0	876689962
429	136	4.0	882386071
354	66	2.0	891307180
727	232	3.0	883712780
42	1044	4.0	881109271
110	184	1.0	886988631
761	117	5.0	876190314
625	428	5.0	891953755
158	72	3.0	880135118
632	845	4.0	879459677
640	150	4.0	886474493
363	154	4.0	891496306
25	612	4.0	885852120
481	780	1.0	885829240
378	200	3.0	880045681
500	1010	4.0	883865483
894	1153	3.0	882404642
419	173	5.0	879435628
796	96	4.0	892662523
542	28	4.0	886533452
268	550	2.0	875310524
668	124	3.0	881605489
232	1149	5.0	888549674
700	50	5.0	884493899
539	269	5.0	879787770
340	186	4.0	884991082
894	381	3.0	882404430
717	274	4.0	884642581
186	1399	2.0	891718530
268	97	4.0	875310031
546	682	3.0	885140097
532	99	5.0	893119438
472	22	5.0	892790953
183	265	2.0	891466350
461	255	2.0	885355890
90	245	3.0	891382612
707	630	3.0	886287608
557	325	3.0	880485074
7	621	5.0	892132773
145	472	3.0	875271128
553	513	4.0	879948806
701	127	4.0	891447139
198	470	3.0	884208571
912	197	5.0	875966429
659	794	3.0	891386910
727	541	4.0	883712751
389	654	5.0	879991411
647	631	4.0	876532425
569	7	4.0	879793909
936	3	4.0	886833148
46	125	4.0	883616284
605	949	5.0	879427164
490	137	3.0	875427739
798	306	3.0	875637329
848	241	5.0	887047243
198	447	4.0	884209188
261	294	4.0	890454217
354	971	3.0	891217482
892	420	2.0	886610267
824	243	1.0	877021002
719	357	4.0	879360583
550	222	4.0	883425979
785	995	3.0	879438736
696	302	5.0	886403632
878	588	2.0	880870048
552	121	4.0	879222698
524	485	2.0	884635085
280	316	5.0	891700184
